Heart Beat 0.8~2.5hz from Avg,Peak Hz in 2.6~10hz,Peak Hz in 21~30hz,Peak Hz in 31~40hz,Peak Hz in 41~50hz,RMS avg,Zero crossing rate avg,Spectral flatness avg,Spectral rolloff avg,Spectral centroid avg,Poly features avg,Spectral bandwidth avg,Not Normal
69.0,5.5,23.33,31.0,43.67,0.2528,0.027999999999999997,0.0202,3931.6415,3655.5029,0.8441,5149.4551,1
78.0,3.12,30.0,40.0,43.25,0.1949,0.0372,0.0211,5369.9529,4887.3982,0.695,6042.2007,0
78.0,3.0,24.71,39.5,41.5,0.20600000000000002,0.0275,0.0148,5252.5443,4598.1605,0.6629999999999999,6013.8062,1
76.0,4.0,25.0,40.0,50.0,0.2054,0.07200000000000001,0.047,7429.2183,7041.156999999997,1.1817,6818.168000000002,0
83.0,5.78,22.4,38.78,45.0,0.244,0.0008,0.0,71.4086,128.8602,0.4138,605.7551,1
82.0,6.0,26.0,37.4,46.0,0.2539,0.0013,0.0,72.5249,130.6257,0.4349,600.0443,0
75.0,6.12,23.88,40.0,49.75,0.2299,0.0423,0.0258,6426.0823,5796.0671,0.9369,6385.6767,0
79.0,10.0,21.09,40.0,43.0,0.2813,0.0764,0.0676,5556.098000000001,5706.2273,1.9134,5553.6838,1
71.0,3.0,26.0,37.0,50.0,0.3111,0.017,0.0138,2613.0217,2380.4616,0.9283,4423.1727,0
86.0,9.09,29.67,40.0,43.67,0.3109,0.0597,0.0499,5209.9116,5016.2431,1.6762,5553.5699,0
79.0,9.1,26.5,36.0,50.0,0.2565,0.0009,0.0,96.7716,147.998,0.4341,623.3123,0
83.0,6.0,30.0,34.38,45.75,0.2195,0.0425,0.0248,6508.9343,5974.1852,0.8806,6485.1432,0
86.0,3.0,25.12,40.0,47.44,0.1906,0.0244,0.0104,5342.5278,4564.8693,0.5465,6166.3718,1
73.0,7.0,30.0,35.0,41.0,0.19,0.0424,0.0211,6538.1594,5847.1872,0.6881,6555.1387,0
80.0,6.0,30.0,36.0,50.0,0.2009,0.0289,0.0161,5303.3936,4649.6131,0.6449,6116.2743,1
70.0,3.0,26.12,35.0,48.0,0.2271,0.0221,0.0125,4491.5204,3952.0604,0.6559,5555.7867,1
81.0,3.0,24.5,33.57,42.43,0.2035,0.0556,0.0397,6579.2238,5980.8607,1.0353,6496.4923,1
92.0,4.0,23.33,39.71,41.5,0.2212,0.0353,0.0225,4739.5686,4232.857,0.8236,4682.7387,0
94.0,3.7,30.0,36.0,41.67,0.1796,0.0345,0.0163,6633.9151,5703.6169,0.5981,6663.8258,0
86.47619841870251,4.412181384220854,21.48795911038491,43.24205058375529,39.143164804713,0.21658596796339968,0.040991984652373,0.06526835971360209,733.7147627178681,3112.137901337226,0.9474530503405737,4916.774062939738,0
86.63739105260012,8.914860056408074,24.719753189992705,37.29940704189639,44.58699353519991,0.16729574138330747,0.007918763326285043,0.053115000207615934,2408.7650937734247,-2915.6541987224387,1.7906897053232507,4542.63751995579,1
94.89787207067646,4.204677659531498,25.449798549111314,36.174296134399704,43.71342027687192,0.18280477420741953,0.04301320006345334,0.03614269470318451,-2561.7604676107658,3794.042380617396,0.7509861469384074,4851.396719714083,1
93.40853304447742,8.10761494661398,25.18986219320103,41.54719425995253,50.27744808124803,0.22152602979490676,0.04146581869171045,0.03738226434967495,3342.132387937086,3974.338237023717,0.459034565378,5171.236359650195,0
81.49553465210094,3.9402163898842044,23.676105734286164,42.15360257713669,42.02573695272912,0.27877818096918944,0.014843262574452329,0.0605524482774574,6225.187577837252,-4886.56497504642,0.5742464321639154,2214.433971274764,1
81.18934079071144,10.072979517966887,21.137374354616433,42.58589951501369,39.036576967559576,0.2179772011081409,0.08209677186916393,0.02200576355300838,-2876.0744375132444,-2367.4679236647435,0.35803134569716527,6149.794918747426,1
97.10411910657258,1.0525495575378008,23.232906280108942,37.0698226644618,38.25483295741004,0.20542662261822053,0.049234395514952206,-0.006883806405397749,7302.379096538431,5973.840829360543,0.30213101397422526,4340.732915123768,0
97.00764815934163,2.1608186327621115,19.342099249113495,41.64450082656365,46.71034722899812,0.2068785765331452,0.05444210095887004,0.02692917992150831,3549.4995817674594,2755.5522681748153,0.052180564333922375,5468.720797945221,0
73.97643584025984,8.184614721222871,25.968158833941747,41.14722572858207,42.77635938448382,0.17470138294656612,0.024603180521575587,0.04769264879655688,2572.0203192651175,-4524.366245288536,1.4641416098675037,5129.559436969587,0
97.44014682650464,7.381217536432125,26.26078102594947,46.44528475208104,42.196606142423825,0.3073827532987814,0.0516962173580969,0.07540821856426519,-6063.090285439794,3743.503717614705,2.0067499260319033,6905.874559208885,0
78.23623620044994,11.526406420898962,23.53691014362136,45.75365436063838,45.3469752276037,0.16199747787722413,0.00564830487134288,0.02343041897277942,6836.190588198028,3949.3159870493228,0.2242903781415766,4080.4927954626583,0
90.6321190704962,4.454359931219685,19.454876606687236,44.954898534241664,46.57424057498242,0.19350885832903936,0.07489148147116045,0.02476631387153104,-4112.703948139437,-2578.624286068727,0.40081033244580205,-142.79093015326725,1
75.54707499840012,9.15250299400269,26.528221830594013,41.25347984296395,43.77389405633646,0.18595729979607095,0.05636355146724054,-0.0010937196266543846,6569.343537895877,3693.292145118262,0.47581326586713485,5495.35962737745,0
86.31576739337939,0.8125656125907854,26.40233994356097,37.74003364091208,47.104596802670926,0.14650173655168128,0.07020917075645078,0.015891089984592655,-3949.386489664059,2640.4367065502456,0.7727077000944704,5162.050628429714,0
86.876034211689,-0.02452972216997651,18.6289413958577,38.64535270362108,46.98353672598931,0.17386478076145703,0.04139984459746109,0.07395119001643549,554.3054341537559,1063.2999979140336,1.0620900840950034,4544.395582429755,0
90.059339545825,9.281096475181725,22.195381048904153,45.534935750041264,44.549326828055115,0.16407161573824836,-0.02070875050320352,0.06455103845017951,3062.8487982329116,-2810.523238509914,0.6844352127660506,5411.217135142228,1
90.62465498978901,5.86026746725967,24.862523757299776,42.740731974051336,44.46766958891764,0.21857352958764445,0.01320340129473065,0.08191945164796233,5385.283397521804,4563.6827724387085,2.1033044829101417,4821.375558646871,0
79.06101127985886,10.145466609325041,27.69753583250669,41.51092649374537,48.09973545311737,0.1847545025950036,0.05160373997568399,0.04040366296066221,3220.6406562235366,-4199.265046561446,0.8806797489762617,3626.022895603748,0
78.49103899926673,9.33325003387186,22.190108885265175,35.39721154940617,46.92837759905124,0.1917107832249089,0.020562910321010458,0.04584370776922617,-4560.574946206144,1777.8919443392533,0.5416450001666837,4542.157575931424,1
80.30812354903509,5.724724120503198,21.015541967799564,38.87839412242844,39.9389626621706,0.2509445952213057,-0.0030611872988482863,0.026968714799678096,-2775.5813487028527,-5517.373407680096,0.9021212484771886,4854.546721757654,1
93.2721718585413,6.177076894479072,22.934337861246895,44.851248220403484,49.63357283306003,0.21726862273555297,0.03349058795475578,0.028523787158957866,6707.410353641804,1390.7796848066596,0.6866104035830445,5616.716989451888,0
90.06792862215,9.258193337698325,28.09546124331179,40.035231744168826,39.43739554300067,0.21176546930348397,0.015800607358730307,0.08883745563028189,3791.031742834412,4781.158846948418,1.18697986967335,4542.762651858533,1
84.08139942550201,8.74961610489942,28.63650125082523,46.07735122335097,44.012648120198925,0.14803255864680054,0.028179782716792248,0.04107922458228647,5683.637322809977,1685.1876656870477,1.0682462996297486,3333.3051370420108,1
74.28996958553208,6.587786698324682,27.5049472695423,42.09713471683353,45.60511572296952,0.14610181390829285,0.05733052244580435,0.01936433573287755,4411.705630152652,6997.800608174079,0.04803393571598025,6205.741667591124,0
97.45949263432824,4.305349706837784,26.642644101586388,44.95035013924314,46.685625280639506,0.2337867050557969,-0.002595038556431145,0.04772471847262172,-2078.953112067831,3311.9893941708797,0.6805435711155123,5071.255205116184,1
77.6774343108992,8.208124541556526,21.440579943503767,40.71396792479711,45.27430106873758,0.18400110067647363,0.07916843381376906,0.0001381581536226556,-1278.2664889125617,3268.444375927066,0.21467354782733494,5174.079849671411,0
