Zero crossing rate avg,Heart Beat 0.8~2.5hz from Avg,Peak Hz in 31~40hz,Spectral rolloff avg,Spectral centroid avg,Spectral bandwidth avg,Peak Hz in 21~30hz,Peak Hz in 41~50hz,Not Normal
0.028,69.0,31.0,3931.6415,3655.5029,5149.4551,23.33,43.67,1
0.0372,78.0,40.0,5369.9529,4887.3982,6042.2007,30.0,43.25,0
0.0275,78.0,39.5,5252.5443,4598.1605,6013.8062,24.71,41.5,1
0.07200000000000001,76.0,40.0,7429.2183,7041.156999999997,6818.168000000002,25.0,50.0,0
0.0008,83.0,38.78,71.4086,128.8602,605.7551,22.4,45.0,1
0.0013,82.0,37.4,72.5249,130.6257,600.0443,26.0,46.0,0
0.0423,75.0,40.0,6426.0823,5796.0671,6385.6767,23.88,49.75,0
0.0764,79.0,40.0,5556.098000000001,5706.2273,5553.6838,21.09,43.0,1
0.017,71.0,37.0,2613.0217,2380.4616,4423.1727,26.0,50.0,0
0.0597,86.0,40.0,5209.9116,5016.2431,5553.5699,29.67,43.67,0
0.0009,79.0,36.0,96.7716,147.998,623.3123,26.5,50.0,0
0.0425,83.0,34.38,6508.9343,5974.1852,6485.1432,30.0,45.75,0
0.0244,86.0,40.0,5342.5278,4564.8693,6166.3718,25.12,47.44,1
0.0424,73.0,35.0,6538.1594,5847.1872,6555.1387,30.0,41.0,0
0.0289,80.0,36.0,5303.3936,4649.6131,6116.2743,30.0,50.0,1
0.0221,70.0,35.0,4491.5204,3952.0604,5555.7867,26.12,48.0,1
0.0556,81.0,33.57,6579.2238,5980.8607,6496.4923,24.5,42.43,1
0.0353,92.0,39.71,4739.5686,4232.857,4682.7387,23.33,41.5,0
0.0345,94.0,36.0,6633.9151,5703.6169,6663.8258,30.0,41.67,0
0.09150911639112556,73.67050749287831,31.482805942862306,6295.7167670651415,2870.9837824405945,4307.443794936211,32.40588813735362,40.58735136893496,0
0.03262887210392972,71.14669541143832,37.165368073572544,5554.960895305418,5243.4932635215255,4713.967651118689,34.139345078917515,52.57376468835877,1
0.09007370598190713,77.30776953867114,39.78668135898892,4422.726499822289,3469.42403440966,5113.781425575898,28.964306355203416,43.34599758077453,0
0.052247447363297936,72.19620469417518,31.681683593316468,5644.459043872481,5850.9616601502585,5579.243771162375,29.868611666621266,45.8997104175072,1
0.08449056885857874,64.43420361334016,29.6287691306506,6573.813179413706,5954.55528905603,1167.2138502832113,27.97523807104801,42.6198003481902,0
0.0835759099257298,87.23676512533197,28.379788247023573,5098.422358393896,2849.535827734462,6775.378226657475,26.635676838610568,52.12244002266983,0
-0.005623603693088744,79.51041273898345,33.283680451314744,8573.879170645712,3749.9436905213206,3901.0921488997583,34.66024459742356,40.49580468522965,1
0.061029011606514035,99.91738559358295,29.58499289277804,7897.730197220275,6518.364362543053,3327.13206787074,23.80804651911778,54.65537423050597,1
0.06756971450113339,81.73104824913685,32.58884929042325,4887.511975802914,3571.8765601833124,3659.6724774795507,32.42447347733998,52.437133801242155,1
0.09261881467329024,92.82857286515896,32.006824612720855,8474.561646209602,4151.982282605443,4845.690172817812,29.79563892852499,50.5470304346062,1
0.08268481452238023,84.17983377113707,30.89798408479535,6006.143690203691,4014.1354124637305,3358.867003348531,25.361418784889608,41.96689701729125,0
0.07432711599790731,77.77316324395505,35.91288742004706,6723.208357125677,4654.607000021373,5014.2383567015795,32.57990534139441,47.83363934189807,0
0.0955866121697245,66.55462955496174,37.44995103945396,7129.911640797127,3996.6493709023744,5252.122064706333,27.18733540971324,46.73696400147147,0
0.09667281258710228,70.22007586816821,37.05088170241988,6239.6675571326705,1855.1902885960465,5637.906724332737,28.49441864136591,49.21093766364597,0
0.07831702010125481,74.90593991662888,37.48899213108472,8179.581380524651,3455.448990849229,6263.117972448936,25.824834185568786,50.020642478861475,0
0.0640982711859179,70.15505888004803,32.92865192964521,5747.713806162907,7108.118134013307,5445.704152199085,34.36619653358666,43.077454957751996,0
0.04393483082086636,82.0226734766524,31.230695177975548,8735.11598691906,6408.844813212758,5260.490764506656,32.09166209347805,49.53547376280653,1
0.09433121904407024,63.67179226224235,35.816894502563905,7216.280193699259,1338.6113356463245,5091.352378749649,27.19795908147738,42.1413593363911,0
0.00504105528974047,66.0124418358279,35.05861666083885,5633.447077185362,4596.430951515305,629.7686309928265,30.64785796498675,46.19093833792883,1
0.014846876659201909,78.26460235930848,35.63991846635372,6177.951966970458,1916.9161585771267,3155.7436076203217,30.924207909866862,52.80379065207162,1
0.054652162373937344,72.61822688912794,31.680643343245602,7548.696437308565,8115.058852412376,5250.6803906554715,33.69549692779948,51.386708078682354,1
0.032674793520924665,71.94732811259783,32.26379622867138,6194.645794474383,3845.966577584908,5776.3890992915685,26.637991111769107,44.26155867569619,0
0.06543760401858613,70.78402168340678,33.7318053211309,6154.886461846037,4544.099242970502,4579.57846785177,29.431271959257025,52.61401397155901,0
0.06569476218586172,86.48813635601515,36.53517368119301,8983.26223566804,3330.96878060152,6765.290686180739,28.17886789410351,47.03257388611247,0
0.0915241334057454,79.15147679107906,34.7256361378097,6055.724465929512,4292.4777835304185,6362.815857369475,31.33297916816946,46.93834280871126,1
0.07418137569423221,80.31749278923705,33.52516770998322,6773.181526964334,3024.984927459231,3199.6555644646305,28.46465673362461,48.50072613534309,1
0.08173007991042139,86.31996019900362,39.8863580191681,8953.484456064009,3723.92233246751,4996.497858475215,27.021435801458587,49.80034502229393,1
-0.014627152547810128,64.41345017553171,36.805404516339,8194.296860642926,4375.8494352445705,4603.251506450714,31.561328957355556,49.12715102296833,0
0.06181372259902754,72.84249765522169,30.89856708208781,9032.91046748732,1362.6591947459185,5501.579364468619,33.79105328821953,39.766114240392845,0
0.052674529390167334,77.1093833700256,29.655493650328463,7010.623693736611,2445.3173282619755,3692.1888100337987,29.91425111985209,45.412785895039356,1
0.08710971198766213,58.711104688939855,28.22353544654301,7234.2488832472245,2337.92865679445,5950.284382734521,34.217990448170646,47.980687483489845,0
0.052351846679365904,66.35805537345223,38.35040036999596,6354.969543118787,5530.9957598719,5744.737148307174,31.83050725565548,49.606226222044754,0
0.06562729169383871,66.84700570319758,33.525653223523626,5974.650207770495,153.73236730856345,4437.4490044513395,32.13647526680145,55.237740800152174,1
0.08820015030455756,66.93776300273403,35.821231735689075,5668.819861942041,4687.564611743985,7172.808979531887,33.92099882599848,55.859738696848034,0
0.07145816409820885,57.07451553259102,31.182559796948862,7772.022399383824,-2622.1852060102915,2882.507856973368,32.80811860884878,49.311526844947146,0
0.08233536712734846,80.88599831028047,28.774127488633233,9564.36054753808,3357.8094245897246,-4042.217714719784,29.67566866939781,45.66534969184265,1
0.03633976605491784,73.29710038828891,35.12853061065698,7817.026318812046,536.8524467323422,7116.888472936964,31.033380014966788,49.30984467443851,1
0.038358599541693884,73.3565814637717,41.51847624517549,8419.386732892399,3368.441764042338,5740.25931512487,32.099729472417714,50.11814931052801,1
0.0225412807700124,88.25589319284413,39.38061009071001,6967.540413382897,2161.4930442783693,4867.09966424995,27.601515447945552,51.223091281136725,0
0.036773106749690816,86.48636533898693,31.906476680060038,6155.658566445508,6502.866057271142,6711.653135864828,29.22558545844264,36.11183993060275,1
0.060057883546540174,80.30001473341851,30.955350256286078,7047.084720844408,1751.7433190413171,3978.1566987431543,34.110963538660634,45.550244474897404,1
0.012817426640626104,92.68285228570141,39.87766100781551,7311.272322648474,5430.6855287487015,7421.950288961142,33.589312980403534,51.151186998567184,1
0.07862081031662002,65.80256087997323,30.88969637818676,7654.3298761171045,5143.027792467883,4509.216207163834,28.422059740382572,46.8237956406367,0
0.0695444165657197,65.73648935690375,31.032910488676443,5823.0712373279175,4476.3697416571285,5909.663317836582,27.89668853936964,56.06806110188488,1
0.0953355456673098,65.45676050282334,35.257202495110135,8170.012940514659,2576.5503925363128,7104.73216891905,23.253863445007845,49.83343813860353,0
0.06588897062400864,78.46890306772312,31.761497700860378,7116.130631001412,3162.193608763307,4420.492724736101,34.5414250700999,46.968379975411644,0
